Station,lat,lon
忠孝復興站,25.041629,121.543767
南港展覽館站,25.0553846,121.6182655
松山機場站,25.063021,121.5517715
中山國中站,25.060848,121.544226
南京復興站,25.0520954,121.5443516
大安站,25.0332255,121.5439082
科技大樓站,25.026124,121.543437
六張犁站,25.023698,121.55162
麟光站,25.015464,121.561065
辛亥站,25.005475,121.557107
萬芳醫院站,24.9993886,121.5582008
萬芳社區站,25.00225,121.569992
木柵站,24.99824,121.573145
動物園站,24.998259,121.57943
大直站,25.079476,121.546894
劍南路站,25.084853,121.555592
西湖站,25.082133,121.567213
港墘站,25.080038,121.575102
文德站,25.0785484,121.5855236
內湖站,25.064786,121.585319
大湖公園站,25.083009,121.605262
葫洲站,25.0727158,121.6071548
東湖站,25.0671258,121.6117183
南港軟體園區站,25.0599419,121.6159291
小碧潭站,24.972008,121.530487
新店站,24.95894,121.538581
新店市公所站,24.9673862,121.5410004
七張站,24.9749794,121.5431015
大坪林站,24.9827862,121.5410329
景美站,24.993524,121.540817
萬隆站,24.999282,121.540237
公館站,25.011943,121.537818
臺電大樓站,25.017557,121.531394
古亭站,25.0261342,121.522922
中正紀念堂站,25.032729,121.51827
頂溪站,25.014218,121.5153677
永安市場站,25.003881,121.51332
景安站,24.9937115,121.5046146
南勢角站,24.9899178,121.5088501
小南門站,25.035534,121.51088
臺大醫院站,25.041471,121.518577
臺北車站,25.0477505,121.5170599
中山站,25.0529046,121.5203406
雙連站,25.0579015,121.5206032
民權西路站,25.0628786,121.519346
圓山站,25.071353,121.520118
劍潭站,25.084873,121.525077
士林站,25.093535,121.526229
芝山站,25.1030598,121.5225139
明德站,25.10972,121.518848
石牌站,25.114523,121.515559
唭哩岸站,25.120872,121.506252
奇岩站,25.126112,121.5010071
北投站,25.1313054,121.4991801
新北投站,25.1369429,121.5026492
復興崗站,25.138198,121.491851
忠義站,25.131058,121.473226
關渡站,25.124923,121.465515
竹圍站,25.136558,121.46009
紅樹林站,25.154042,121.458871
淡水站,25.167817,121.44556
頂埔站,24.959332,121.4198624
永寧站,24.9668026,121.4363174
土城站,24.9732244,121.4441573
海山站,24.9854279,121.4486084
亞東醫院站,24.998037,121.452514
府中站,25.0083954,121.4589482
板橋站,25.0145999,121.4625299
新埔站,25.0241811,121.4682288
江子翠站,25.033971,121.473281
龍山寺站,25.035279,121.499826
西門站,25.0421203,121.5076592
善導寺站,25.0441055,121.524231
忠孝新生站,25.0424433,121.5332498
忠孝敦化站,25.0416218,121.5516552
國父紀念館站,25.039012,121.557739
市政府站,25.041146,121.565963
永春站,25.0407066,121.5765839
後山埤站,25.045054,121.582522
昆陽站,25.0501585,121.593423
南港站,25.052056,121.606569
大橋頭站,25.0632553,121.5127182
中山國小站,25.062693,121.526418
行天宮站,25.059717,121.533184
松江南京站,25.0512257,121.5327387
東門站,25.0340535,121.5289343
蘆洲站,25.091553,121.464471
三民高中站,25.085457,121.473389
徐匯中學站,25.079547,121.481262
三和國中站,25.07542,121.488685
三重國小站,25.06945,121.498291
輔大站,25.0328241,121.4361096
新莊站,25.036125,121.452468
頭前庄站,25.039705,121.461746
先嗇宮,25.046493,121.471916
三重站,25.055791,121.484725
菜寮站,25.060274,121.492156
臺北橋站,25.063059,121.499916
迴龍站,25.02254,121.412734
丹鳳站,25.0290509,121.422421
象山站,25.032939,121.5688409
台北101/世貿中心站,25.0330575,121.5631862
信義安和站,25.033116,121.552798
大安森林公園站,25.0334788,121.535352
北門站,25.0490258,121.5099912
台北小巨蛋站,25.0514463,121.5507862
南京三民站,25.051462,121.560447
松山站,25.0498846,121.5775295